,hint,origin,roots,word
149,?［?（?）= thoroughly 完全地；?＝to shut 关闭；?→“to shut off thoroughly（so as to bring to an end）完全关闭（使之了结）”→］? ① finish 结束／She ?d her speech. 她结束了发言。② settle or decide 决定；断定／The judge ?d that he was guilty. 法官判定他有罪。,conclude［con-（com-）= thoroughly 完全地；clud＝to shut 关闭；-e→“to shut off thoroughly（so as to bring to an end）完全关闭（使之了结）”→］v. ① finish 结束／She concluded her speech. 她结束了发言。② settle or decide 决定；断定／The judge concluded that he was guilty. 法官判定他有罪。,"['con-', 'com-', 'clud', '-e']",conclude
150,?［conclude 的对应名词：?；?；?＝the act or result 表行为或结果→“the act or result of concluding 结束，决定的行为或结果”→］? ① end 结束；结局／Their debate came to a ?. 他们的争论终于有了结果。② final outcome or decision 结论／Now we can draw a ? from the above facts. 现在可以从上述事实得出一个结论。,conclusion［conclude 的对应名词：con-；clus；-ion n.＝the act or result 表行为或结果→“the act or result of concluding 结束，决定的行为或结果”→］n. ① end 结束；结局／Their debate came to a conclusion. 他们的争论终于有了结果。② final outcome or decision 结论／Now we can draw a conclusion from the above facts. 现在可以从上述事实得出一个结论。,"['con-', 'clus', '-ion n.']",conclusion
151,?［conclude的对应形容词：?；?；?＝characterized by 有…特点的→“characterized by concluding 带有下结论的特点的”→］? ① final 最后的／? decision 最后的决定 ② convincing 确定性的／? evidence 确凿证据 ③ decisive 结论性的／a ? ruling by the judge 法官的裁决,conclusive［conclude的对应形容词：con-；clus；-ive a.＝characterized by 有…特点的→“characterized by concluding 带有下结论的特点的”→］a. ① final 最后的／conclusive decision 最后的决定 ② convincing 确定性的／conclusive evidence 确凿证据 ③ decisive 结论性的／a conclusive ruling by the judge 法官的裁决,"['con-', 'clus', '-ive a.']",conclusive
152,"?［?＝in 内；?＝to shut 关闭；?→“to shut in 关闭在内”→］? ① contain, or enclose 包含；包住／The nutshell ?s the kernel. 果壳包住果仁。② comprise as a part 包括／The freight is ?d. 运费包括在内。","include［in-＝in 内；clud＝to shut 关闭；-e→“to shut in 关闭在内”→］v. ① contain, or enclose 包含；包住／The nutshell includes the kernel. 果壳包住果仁。② comprise as a part 包括／The freight is included. 运费包括在内。","['in-', 'clud', '-e']",include
153,"?［?＝out 外；?＝to shut 关闭；?→“to shut out 关在外面”］? ① keep from entering, or bar 排除在外；排斥／The club ?d him from membership. 该俱乐部拒绝接受他加入。② expel 逐出／An officer was ?d from his position. 一个官员被撤职了。","exclude［ex-＝out 外；clud＝to shut 关闭；-e→“to shut out 关在外面”］v. ① keep from entering, or bar 排除在外；排斥／The club excluded him from membership. 该俱乐部拒绝接受他加入。② expel 逐出／An officer was excluded from his position. 一个官员被撤职了。","['ex-', 'clud', '-e']",exclude
154,?［?＝beforehand 事先；?＝to shut 关闭；?→“to shut beforehand（in order to keep out）事先关住（不让进入）”→］? ① prevent 免除；预防／She explained it in detail so as to ? all doubts. 她对此详加说明，以免招致各种怀疑。② make impracticable 阻碍／A prior engagement will ? me from coming. 另有约会在先，我无法前来。,preclude［pre-＝beforehand 事先；clud＝to shut 关闭；-e→“to shut beforehand（in order to keep out）事先关住（不让进入）”→］v. ① prevent 免除；预防／She explained it in detail so as to preclude all doubts. 她对此详加说明，以免招致各种怀疑。② make impracticable 阻碍／A prior engagement will preclude me from coming. 另有约会在先，我无法前来。,"['pre-', 'clud', '-e']",preclude
155,?［?＝apart 分离；?＝to shut 关闭；?→“to shut oneself apart from others 自我关闭，与他人隔离”→］? shut off from association or influence outside 隐居／He almost ?s himself from the society. 他几乎与世隔绝。,seclude［se-＝apart 分离；clud＝to shut 关闭；-e→“to shut oneself apart from others 自我关闭，与他人隔离”→］v. shut off from association or influence outside 隐居／He almost secludes himself from the society. 他几乎与世隔绝。,"['se-', 'clud', '-e']",seclude
156,"?［?（?）= against 对抗；?＝to shut 关闭；?→“to shut against going through 关住不让通过”→］? stop up, or obstruct 堵塞；闭塞／His imagination was ?d by something. 某件事情堵塞了他的想象力。","occlude［oc-（ob-）= against 对抗；clud＝to shut 关闭；-e→“to shut against going through 关住不让通过”→］v. stop up, or obstruct 堵塞；闭塞／His imagination was occluded by something. 某件事情堵塞了他的想象力。","['oc-', 'ob-', 'clud', '-e']",occlude
157,?［?＝back 回，退；?＝to shut 关闭；?→“being shut back or away（from active social life）被关在（人世）外的，退居世外的”→］Ⅰ? retired; secluded 退居林下的；隐居的／He stayed alone at home like a ? monk. 他在家独处，像个隐居的和尚。→Ⅱ? one who lives in a ? way 隐居者，隐士,recluse［re-＝back 回，退；clus＝to shut 关闭；-e→“being shut back or away（from active social life）被关在（人世）外的，退居世外的”→］Ⅰa. retired; secluded 退居林下的；隐居的／He stayed alone at home like a recluse monk. 他在家独处，像个隐居的和尚。→Ⅱn. one who lives in a recluse way 隐居者，隐士,"['re-', 'clus', '-e', 'a.']",recluse
158,"?［?（?）= towards 向；?＝heart 心→“a heart towards another 心心相向”→］Ⅰ? agreement, or harmony 一致；调和／Our opinions are in ?. 我们的意见一致。→Ⅱ? be of one heart, or agree 同意；一致／His opinions ? with mine. 他与我观点一致。","accord［ac-（ad-）= towards 向；cord＝heart 心→“a heart towards another 心心相向”→］Ⅰn. agreement, or harmony 一致；调和／Our opinions are in accord. 我们的意见一致。→Ⅱv. be of one heart, or agree 同意；一致／His opinions accord with mine. 他与我观点一致。","['ac-', 'ad-', 'cord', 'n.']",accord
159,"?［?（?）= together 共同；?＝heart 心→“a heart together with another 心心与共”→］? the state of having the same mind, or agreement, or harmony 同心；一致；和谐／The old couple have lived in ? for decades. 这对老夫妻相亲相爱几十年。","concord［con-（com-）= together 共同；cord＝heart 心→“a heart together with another 心心与共”→］n. the state of having the same mind, or agreement, or harmony 同心；一致；和谐／The old couple have lived in concord for decades. 这对老夫妻相亲相爱几十年。","['con-', 'com-', 'cord']",concord
160,"?［?＝apart 离；?＝heart 心→“a heart apart from another 心心相离”→］Ⅰ? disagreement, or opposition of views 不一致；不和／The couple split up after years of ?. 吵了几年，这对夫妻分手了。→Ⅱ? disagree or quarrel 不和；争吵／They often ? with each other. 他们经常闹矛盾。","discord［dis-＝apart 离；cord＝heart 心→“a heart apart from another 心心相离”→］Ⅰn. disagreement, or opposition of views 不一致；不和／The couple split up after years of discord. 吵了几年，这对夫妻分手了。→Ⅱv. disagree or quarrel 不和；争吵／They often discord with each other. 他们经常闹矛盾。","['dis-', 'cord', 'n.']",discord
161,?［?＝back 回；?＝heart 心→“back in the heart 回到心里”→“to put in mind again（as by writing it down）（记下来）以便回忆”→］Ⅰ? write down in permanent form 记录；记载／A great event like this should be ?ed. 这样的大事应该记录下来。→Ⅱ? ?ed permanent account 记录；记载／The best proof will be the original ?s. 最好的证明是原始记录材料。,record［re-＝back 回；cord＝heart 心→“back in the heart 回到心里”→“to put in mind again（as by writing it down）（记下来）以便回忆”→］Ⅰv. write down in permanent form 记录；记载／A great event like this should be recorded. 这样的大事应该记录下来。→Ⅱn. recorded permanent account 记录；记载／The best proof will be the original records. 最好的证明是原始记录材料。,"['re-', 'cord', 'v.']",record
162,?［?＝heart 心；?; ?＝pertaining to …的→“pertaining to one's heart 心的，内心的”→］? hearty or sincere 衷心的；诚心的／Please accept my ? congratulations. 请接受我的衷心祝贺。,cordial［cord＝heart 心；-i-; -al a.＝pertaining to …的→“pertaining to one's heart 心的，内心的”→］a. hearty or sincere 衷心的；诚心的／Please accept my cordial congratulations. 请接受我的衷心祝贺。,"['cord', '-i-', '-al a.']",cordial
163,?［?＝heart 心；?；?＝having the shape 有…形状的 →］? having the shape like a heart 心形的／This kind of trees bear ? leaves. 这种树长心形叶片。,cordiform［cord＝heart 心；-i-；-form n.＝having the shape 有…形状的 →］a. having the shape like a heart 心形的／This kind of trees bear cordiform leaves. 这种树长心形叶片。,"['cord', '-i-', '-form n.']",cordiform
164,?［?＝reversed 倒转的；?＝heart 心；?＝having 有…性质的 →］? having the shape like a reversed heart 倒心形的／an ? leaf 倒心形的叶片,obcordate［ob-＝reversed 倒转的；cord＝heart 心；-ate a.＝having 有…性质的 →］a. having the shape like a reversed heart 倒心形的／an obcordate leaf 倒心形的叶片,"['ob-', 'cord', '-ate a.']",obcordate
165,"?［?＝body 人体→person 人；?表复数→“set of persons 一伙人”→“organized group 团体”→］? ① group of people working together for a particular job（从事特定工作的）团队／He was then a cook, serving a diplomatic ?. 他当时是厨师，服务于某个外交使团。② part of an army with particular responsibilities 特殊兵种，特种部队／The film is about a former soldier of the US marine ?. 该片说的是一个前美国海军陆战队士兵的故事。","corps［corp＝body 人体→person 人；-s表复数→“set of persons 一伙人”→“organized group 团体”→］n. ① group of people working together for a particular job（从事特定工作的）团队／He was then a cook, serving a diplomatic corps. 他当时是厨师，服务于某个外交使团。② part of an army with particular responsibilities 特殊兵种，特种部队／The film is about a former soldier of the US marine corps. 该片说的是一个前美国海军陆战队士兵的故事。","['corp', '-s']",corps
166,?［?＝body 人体；?＝pertaining to …的→］? pertaining to one's body 身体的；肉体的／Any kind of ? punishment to the prisoners are strongly condemned. 对囚犯的任何肉刑体罚都受到强烈的谴责。,corporal［corpor＝body 人体；-al a.＝pertaining to …的→］a. pertaining to one's body 身体的；肉体的／Any kind of corporal punishment to the prisoners are strongly condemned. 对囚犯的任何肉刑体罚都受到强烈的谴责。,"['corpor', '-al a.']",corporal
167,?［?＝body 体，整体；?＝relating to 与…有关→“relating to a body as a whole 与某个整体有关的”→］? ① including all members of a group 全体的，集体的／Is there a ? identity shared by all African countries? 非洲国家是否都具有某个共有的特征？② relating to a large company 大公司的／Ours is an international company and the ? headquarters are in Madrid. 本公司是全球性的，公司总部在马德里。,corporate［corpor＝body 体，整体；-ate a.＝relating to 与…有关→“relating to a body as a whole 与某个整体有关的”→］a. ① including all members of a group 全体的，集体的／Is there a corporate identity shared by all African countries? 非洲国家是否都具有某个共有的特征？② relating to a large company 大公司的／Ours is an international company and the corporate headquarters are in Madrid. 本公司是全球性的，公司总部在马德里。,"['corpor', '-ate a.']",corporate
168,"?［?＝into 入；?＝body 整体；?＝to make or cause 使…→“to make or cause into a body 使成为一个整体”→］? ① form into a body 组成一体；合并／We will ? your suggestion into our new plan. 我们将把你的建议纳入新计划。② form a company which can sell shares 组成（股份公司）／As an ?d company, you may raise money by selling shares. 作为股份有限公司，你们可以发行股票筹措资金。","incorporate［in-＝into 入；corpor＝body 整体；-ate v.＝to make or cause 使…→“to make or cause into a body 使成为一个整体”→］v. ① form into a body 组成一体；合并／We will incorporate your suggestion into our new plan. 我们将把你的建议纳入新计划。② form a company which can sell shares 组成（股份公司）／As an incorporated company, you may raise money by selling shares. 作为股份有限公司，你们可以发行股票筹措资金。","['in-', 'corpor', '-ate v.']",incorporate
169,"?［?＝body 整体→“a group of things regarded as a body 被看作整体的所有事物”→］? ① a collection of writings, as of one person 全集／the ? of Dickens' works 狄更斯全集 ② a collection of written and spoken language stored on computer 语料库／The compilation of this dictionary is supported by the World English Corpus. 这部词典的编撰得到了世界英语语料库的支持。","corpus［corpus＝body 整体→“a group of things regarded as a body 被看作整体的所有事物”→］n. ① a collection of writings, as of one person 全集／the corpus of Dickens' works 狄更斯全集 ② a collection of written and spoken language stored on computer 语料库／The compilation of this dictionary is supported by the World English Corpus. 这部词典的编撰得到了世界英语语料库的支持。",['corpus'],corpus
170,?［?＝body 人体→flesh 肉；?（-?-＋?） ?＝f?l of 多…的→“f?l of flesh 多肉的”→］? fleshy or fat 肥胖的；臃肿的／Overeating has made her ?. 饮食无度使她发胖。,corpulent［corp＝body 人体→flesh 肉；-ulent（-ul-＋-ent） a.＝full of 多…的→“full of flesh 多肉的”→］a. fleshy or fat 肥胖的；臃肿的／Overeating has made her corpulent. 饮食无度使她发胖。,"['corp', '-ulent', 'ul', '-ent', 'a.']",corpulent
171,?［?＝body 肉体；?；?＝relating to 有关…的→“relating to the body（other than the spirit）肉体的（而非精神的）”→］? ① relating to the body 肉体的／Food and drink are ? needs. 饮食乃人体之需求。② relating to physical and not to spiritual states 物质的；有形的／Land and money are ? property. 土地和金钱都是有形财富。,corporeal［corpor＝body 肉体；-e-；-al a.＝relating to 有关…的→“relating to the body（other than the spirit）肉体的（而非精神的）”→］a. ① relating to the body 肉体的／Food and drink are corporeal needs. 饮食乃人体之需求。② relating to physical and not to spiritual states 物质的；有形的／Land and money are corporeal property. 土地和金钱都是有形财富。,"['corpor', '-e-', '-al a.']",corporeal
172,?［?＝body 体；?（?）?＝small thing 小东西→“small body 小物体”→］? ① small particle 微粒／Does light consist of a stream of ?s? 光是由微粒流组成的吗？② one of the white or red cells in the blood 血细胞，血球／She needs a test on the white ?s of her blood. 她需要查一下白细胞。,corpuscle［corpus＝body 体；-cle（-cule）n.＝small thing 小东西→“small body 小物体”→］n. ① small particle 微粒／Does light consist of a stream of corpuscles? 光是由微粒流组成的吗？② one of the white or red cells in the blood 血细胞，血球／She needs a test on the white corpuscles of her blood. 她需要查一下白细胞。,"['corpus', '-cle', '-cule', 'n.']",corpuscle
173,?［?＝to believe or trust 相信，信任→］Ⅰ? ① belief or trust 相信；信任／She gave a ? to the story. 她相信了那个故事。② money added to an account in a bank 存入款项／All your ?s and debits will be shown in the bank statement. 所有的存款和取款项目都会体现在银行对账单上。→Ⅱ? ① believe or trust 相信；信任／How could you ? such a wild story? 你怎么会相信这个荒唐的故事？② add a sum of money to an account in a bank 存款／Your account will be ?ed with the amount owned. 所欠款项已存入你方账户。,credit［credit＝to believe or trust 相信，信任→］Ⅰn. ① belief or trust 相信；信任／She gave a credit to the story. 她相信了那个故事。② money added to an account in a bank 存入款项／All your credits and debits will be shown in the bank statement. 所有的存款和取款项目都会体现在银行对账单上。→Ⅱv. ① believe or trust 相信；信任／How could you credit such a wild story? 你怎么会相信这个荒唐的故事？② add a sum of money to an account in a bank 存款／Your account will be credited with the amount owned. 所欠款项已存入你方账户。,"['credit', 'n.']",credit
174,"?［?＝the opposite of 表相反意义；credit ? & ? 相信，信任→］Ⅰ? absence of credit, or loss of repute 失去信任；丧失信誉／It is an event to the ? of your brother. 这是一件有损你兄弟的信誉的事件。→Ⅱ? ① not credit, or refuse to believe 不信；怀疑／At first his theories were ?ed by most people. 起初他的理论受到大多数人的怀疑。② cause to be disbelieved 使丧失信誉／The bribe ?ed him completely with the public. 那笔贿赂使他在公众面前信誉扫地。","discredit［dis-＝the opposite of 表相反意义；credit n. & v. 相信，信任→］Ⅰn. absence of credit, or loss of repute 失去信任；丧失信誉／It is an event to the discredit of your brother. 这是一件有损你兄弟的信誉的事件。→Ⅱv. ① not credit, or refuse to believe 不信；怀疑／At first his theories were discredited by most people. 起初他的理论受到大多数人的怀疑。② cause to be disbelieved 使丧失信誉／The bribe discredited him completely with the public. 那笔贿赂使他在公众面前信誉扫地。","['dis-', 'n.', 'v.', 'n.']",discredit
175,"?［?＝to believe 信任；?＝capable of 能…的→］? capable of being believed, or believable; worthy of belief 可信任的；可靠的／There is no ? evidence against him. 没有对他不利的可靠证据。","credible［cred＝to believe 信任；-ible a.＝capable of 能…的→］a. capable of being believed, or believable; worthy of belief 可信任的；可靠的／There is no credible evidence against him. 没有对他不利的可靠证据。","['cred', '-ible a.']",credible
176,?［?＝to believe 相信；?；?＝apt to 倾向于…的→］? apt to believe without sufficient evidence; too easy to believe 轻信的；易受骗的／Anne is so ? that she'll believe anything you tell her in whisper. 安娜非常轻信，任何对她低声耳语的事，她都信以为真。,credulous［cred＝to believe 相信；-ul-；-ous a.＝apt to 倾向于…的→］a. apt to believe without sufficient evidence; too easy to believe 轻信的；易受骗的／Anne is so credulous that she'll believe anything you tell her in whisper. 安娜非常轻信，任何对她低声耳语的事，她都信以为真。,"['cred', '-ul-', '-ous a.']",credulous
177,"?［?（?）= to 对于；?＝to trust 信任→“to show trust to sb 对某人表示信任”→］? ① give trust to, or accept as true 信任；相信／He was ?ed with some new points on the subject. 人们相信他在该课题上提出了新见解。② authorize officially 委任／The ambassador to China has been ?ed. 已经委任了驻中国大使。","accredit［ac-（ad-）= to 对于；credit＝to trust 信任→“to show trust to sb 对某人表示信任”→］v. ① give trust to, or accept as true 信任；相信／He was accredited with some new points on the subject. 人们相信他在该课题上提出了新见解。② authorize officially 委任／The ambassador to China has been accredited. 已经委任了驻中国大使。","['ac-', 'ad-', 'credit']",accredit
178,?［?＝to believe 相信；?＝the act 表行为→］? belief or trust 相信；信任／The recent discoveries add ? to the new theory. 最近的发现增加了新理论的可信度。,credence［cred＝to believe 相信；-ence n.＝the act 表行为→］n. belief or trust 相信；信任／The recent discoveries add credence to the new theory. 最近的发现增加了新理论的可信度。,"['cred', '-ence n.']",credence
179,"?［?＝to believe 相信；?（?＋?）?＝causing 导致…的→］Ⅰ? causing believe or trust 信任的／? papers 信任状→Ⅱ?（?）documents which prove one's authority, identity, experience etc. 信任状；证书；证件／The ambassador presented his ?s. 大使递交了国书。","credential［cred＝to believe 相信；-ential（-ent＋-ial）a.＝causing 导致…的→］Ⅰa. causing believe or trust 信任的／credential papers 信任状→Ⅱn.（pl.）documents which prove one's authority, identity, experience etc. 信任状；证书；证件／The ambassador presented his credentials. 大使递交了国书。","['cred', '-ential', '-ent', '-ial', 'a.', 'a.', 'n.']",credential
180,?［?（?的第一人称形式）= I believe 我相信→“statement which one believes 某个人相信的说法”→］? set of beliefs；motto 信条；座右铭／His ? is to work hard and save every penny. 他的座右铭是多干活少花钱。,credo［credo（credere的第一人称形式）= I believe 我相信→“statement which one believes 某个人相信的说法”→］n. set of beliefs；motto 信条；座右铭／His credo is to work hard and save every penny. 他的座右铭是多干活少花钱。,"['credo', 'credere']",credo
181,?［?＝to grow 生长，变化；?＝the state 表状态→“the state of growing（of the moon）（月亮）变化的状态”→］? ① the visible part of the quarter moon which is growing larger or smaller 月牙 ② any object like a ? 月牙形的东西／The national emblem of Turkey is a ? and a five-pointed star. 土耳其国徽是一弯月牙和一个五角星。,crescent［cresc＝to grow 生长，变化；-ent n.＝the state 表状态→“the state of growing（of the moon）（月亮）变化的状态”→］n. ① the visible part of the quarter moon which is growing larger or smaller 月牙 ② any object like a crescent 月牙形的东西／The national emblem of Turkey is a crescent and a five-pointed star. 土耳其国徽是一弯月牙和一个五角星。,"['cresc', '-ent n.']",crescent
182,?［?＝into 成；?＝to grow 生长；? →］Ⅰ? grow into a larger amount; become greater or larger 增长；增加；增大／The production ?s with years. 生产逐年增长。→Ⅱ? growth; the amount of growth 增长；增长量／The average rate of ? last year is 6.5％. 去年的平均增长率是6.5％。,increase［in-＝into 成；creas＝to grow 生长；-e →］Ⅰv. grow into a larger amount; become greater or larger 增长；增加；增大／The production increases with years. 生产逐年增长。→Ⅱn. growth; the amount of growth 增长；增长量／The average rate of increase last year is 6.5％. 去年的平均增长率是6.5％。,"['in-', 'creas', '-e', 'v.']",increase
183,?［?＝to grow 生长；?＝to make 使…→“to make to grow into shape 使生长成形”→］? make sth exist that did not exist before 创造／The government promised to ? more jobs. 政府许诺创造更多的就业机会。,create［cre＝to grow 生长；-ate v.＝to make 使…→“to make to grow into shape 使生长成形”→］v. make sth exist that did not exist before 创造／The government promised to create more jobs. 政府许诺创造更多的就业机会。,"['cre', '-ate v.']",create
184,"?［?＝together 一起；?＝to grow 生长；?→“to grow or stick together 长在一起或结成一块”→］Ⅰ? solidify or harden 凝固；固结／The sands ?d into a mass. 沙土结成块。→Ⅱ ? relating to a solidified thing; particular; real 固定有形的；具体的；实际的／Let's start to discuss those ? problems. 让我们开始讨论那些具体问题吧。Ⅲ? any mass of solidified particles, especially used in building 混凝土／Reinforced ? has been used here for ages. 这里很早就使用钢筋混凝土。","concrete［con-＝together 一起；cret＝to grow 生长；-e→“to grow or stick together 长在一起或结成一块”→］Ⅰv. solidify or harden 凝固；固结／The sands concreted into a mass. 沙土结成块。→Ⅱ a. relating to a solidified thing; particular; real 固定有形的；具体的；实际的／Let's start to discuss those concrete problems. 让我们开始讨论那些具体问题吧。Ⅲn. any mass of solidified particles, especially used in building 混凝土／Reinforced concrete has been used here for ages. 这里很早就使用钢筋混凝土。","['con-', 'cret', '-e', 'v.', 'a.']",concrete
185,"?［?＝downward 向下；?＝to grow 生成，变化；?→“to grow downward 下行变化”→］Ⅰ? become less, or make less 减少；使变少／Water consumption ?d last week. 上周耗水量降低了。→Ⅱ? reduction 减少；减少量／A big ? in sales caused the supermarket to close. 销量锐减导致超市关门。","decrease［de-＝downward 向下；creas＝to grow 生成，变化；-e→“to grow downward 下行变化”→］Ⅰv. become less, or make less 减少；使变少／Water consumption decreased last week. 上周耗水量降低了。→Ⅱn. reduction 减少；减少量／A big decrease in sales caused the supermarket to close. 销量锐减导致超市关门。","['de-', 'creas', '-e', 'v.']",decrease
186,"?［?＝into 成；?＝to grow 生长；?＝the result 表结果→“the result of growing（in amount）（数量）增长的结果”→］? the amount of in?ase, especially in a regular one in pay 增加量，增值；定期加薪额／Annual ?s inspire us all. 年度加薪激励我们每个人。","increment［in-＝into 成；cre＝to grow 生长；-ment n.＝the result 表结果→“the result of growing（in amount）（数量）增长的结果”→］n. the amount of increase, especially in a regular one in pay 增加量，增值；定期加薪额／Annual increments inspire us all. 年度加薪激励我们每个人。","['in-', 'cre', '-ment n.']",increment
187,?［?＝into 成；?＝to grow 生长；?＝?表特征→“growing into（the full moon）长成（满月）的”→］? waxing of the moon（月亮）渐盈的／an ? moon 盈月,increscent［in-＝into 成；cresc＝to grow 生长；-ent a.＝-ing表特征→“growing into（the full moon）长成（满月）的”→］a. waxing of the moon（月亮）渐盈的／an increscent moon 盈月,"['in-', 'cresc', '-ent a.', '-ing']",increscent
188,?［?（?）= to 向；?＝to grow 生长；?＝the act or state 表动作或状态→“growing to 向…生长”→］? ① continued growth 生长；增大／The doctor dropped a hint at the ? of cancer. 医生暗示肿瘤增大了。② growing of parts into each other 合生；连生／In the national park you can see the ? of two kinds of plants. 在国家公园会看到两种植物的合生现象。,accretion［ac-（ad-）= to 向；cret＝to grow 生长；-ion n.＝the act or state 表动作或状态→“growing to 向…生长”→］n. ① continued growth 生长；增大／The doctor dropped a hint at the accretion of cancer. 医生暗示肿瘤增大了。② growing of parts into each other 合生；连生／In the national park you can see the accretion of two kinds of plants. 在国家公园会看到两种植物的合生现象。,"['ac-', 'ad-', 'cret', '-ion n.']",accretion
189,?［?＝out 出；?＝to grow 生长；?＝the result 表结果→“growing which is out of the normal state 超出正常状态的生长物”→］? ① extra unusual part on a plant（植物）赘生物 ② a part added to sth only making it ugly 累赘；多余物／The tree is an ? in this painting. 这幅油画中的树是多余的。,excrescence［ex-＝out 出；cresc＝to grow 生长；-ence n.＝the result 表结果→“growing which is out of the normal state 超出正常状态的生长物”→］n. ① extra unusual part on a plant（植物）赘生物 ② a part added to sth only making it ugly 累赘；多余物／The tree is an excrescence in this painting. 这幅油画中的树是多余的。,"['ex-', 'cresc', '-ence n.']",excrescence
190,?［?＝upon 在…之上；?＝to lie down 躺；?＝? …的→“lying upon（sb）躺在或赋予（某人）身上的”→］Ⅰ? lying or resting on（sb）as an obligation 作为责任的；义不容辞的／It is ? on you to warn them. 你有责任告诫他们。→Ⅱ? person on whom an obligation lies; one who holds public office 负有责任者；任公职者／There always exist the conflicts between the ?s and the candidates. 在任者与候选者之间的冲突总是存在的。,incumbent［in-＝upon 在…之上；cumb＝to lie down 躺；-ent a.＝-ing …的→“lying upon（sb）躺在或赋予（某人）身上的”→］Ⅰa. lying or resting on（sb）as an obligation 作为责任的；义不容辞的／It is incumbent on you to warn them. 你有责任告诫他们。→Ⅱn. person on whom an obligation lies; one who holds public office 负有责任者；任公职者／There always exist the conflicts between the incumbents and the candidates. 在任者与候选者之间的冲突总是存在的。,"['in-', 'cumb', '-ent a.', '-ing', 'a.']",incumbent
191,"?［?（?）= under 在…之下；?＝to lie down 躺倒→“to lie down under some pressure, illness etc. 躺倒在压力、疾病等之下”→］? ① give way; yield 让步；屈服／We will not ? to difficulties. 我们决不向困难低头。② die 死／He ?ed to cancer. 他死于癌症。","succumb［suc-（sub-）= under 在…之下；cumb＝to lie down 躺倒→“to lie down under some pressure, illness etc. 躺倒在压力、疾病等之下”→］v. ① give way; yield 让步；屈服／We will not succumb to difficulties. 我们决不向困难低头。② die 死／He succumbed to cancer. 他死于癌症。","['suc-', 'sub-', 'cumb']",succumb
192,?［?（?）= together 共同；?＝to lie down 躺卧；?＝female 女人→“woman who lies down together with a man 与某男人同宿的女人”→］? in the past woman who lived with an important man without a marriage（旧时）妾，小老婆，情妇,concubine［con-（com-）= together 共同；cub＝to lie down 躺卧；-ine n.＝female 女人→“woman who lies down together with a man 与某男人同宿的女人”→］n. in the past woman who lived with an important man without a marriage（旧时）妾，小老婆，情妇,"['con-', 'com-', 'cub', '-ine n.']",concubine
193,"?［?＝on 在…上；?＝to lie 卧；?＝to cause 使…→“to cause（a hen, etc.）to lie on eggs 使（母鸡等）卧在卵上”→］? ① sit on eggs in order to hatch them 孵卵；孵化／Even a good hen can't ? a wooden egg. 再好的母鸡也孵不了木头蛋。② give form to; develop 把…酝酿成熟；使发展／We are in?ating a plan for enlarging the farm. 我们在酝酿着一个扩大农场的计划。","incubate［in-＝on 在…上；cub＝to lie 卧；-ate v.＝to cause 使…→“to cause（a hen, etc.）to lie on eggs 使（母鸡等）卧在卵上”→］v. ① sit on eggs in order to hatch them 孵卵；孵化／Even a good hen can't incubate a wooden egg. 再好的母鸡也孵不了木头蛋。② give form to; develop 把…酝酿成熟；使发展／We are incubating a plan for enlarging the farm. 我们在酝酿着一个扩大农场的计划。","['in-', 'cub', '-ate v.']",incubate
194,?［?＝upon 在…之上；?＝to lie down 卧；?＝thing 物→“thing inclined to lie down upon a person 喜欢卧人身上的东西”→］? evil spirit supposed to lie down upon sleeping persons; nightmare 压在睡眠者身上的恶魔；梦魔／The debt is like an ? on me. 这笔债务使我寝食不安。,incubus［in-＝upon 在…之上；cub＝to lie down 卧；-us n.＝thing 物→“thing inclined to lie down upon a person 喜欢卧人身上的东西”→］n. evil spirit supposed to lie down upon sleeping persons; nightmare 压在睡眠者身上的恶魔；梦魔／The debt is like an incubus on me. 这笔债务使我寝食不安。,"['in-', 'cub', '-us n.']",incubus
195,?［?＝to lie 躺；?＝small thing 小东西→“small room for lying or resting 供躺下歇息的小房间”→］? ① small bedroom 小卧室 ② any small enclosed area in a room 小隔间／She tried on the new dress in the changing ?. 她在更衣间试穿新裙子。,cubicle［cub＝to lie 躺；-icle n.＝small thing 小东西→“small room for lying or resting 供躺下歇息的小房间”→］n. ① small bedroom 小卧室 ② any small enclosed area in a room 小隔间／She tried on the new dress in the changing cubicle. 她在更衣间试穿新裙子。,"['cub', '-icle n.']",cubicle
196,?［?＝in 在；?＝to lie 躺；?＝to do 表动词不定式→“to lie in（way to prevent sb）躺在（路上挡住某人）”→］? make difficult for sb to do sth 妨碍；阻碍；拖累／They were ?ed with heavy suitcases and could not run fast. 他们被沉重的行李箱拖累，所以跑不快。,encumber［en-＝in 在；cumb＝to lie 躺；-er v.＝to do 表动词不定式→“to lie in（way to prevent sb）躺在（路上挡住某人）”→］v. make difficult for sb to do sth 妨碍；阻碍；拖累／They were encumbered with heavy suitcases and could not run fast. 他们被沉重的行李箱拖累，所以跑不快。,"['en-', 'cumb', '-er v.']",encumber
197,?［?＝backward 向后；?＝to lie 躺；?＝? …的 →］? lying backward 躺着的；仰卧的／You can see a ? statue everywhere. 雕塑的卧像随处可见。,recumbent［re-＝backward 向后；cumb＝to lie 躺；-ent a.＝-ing …的 →］a. lying backward 躺着的；仰卧的／You can see a recumbent statue everywhere. 雕塑的卧像随处可见。,"['re-', 'cumb', '-ent a.', '-ing']",recumbent
